"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a suite named 'Smoke' and verifies it is created","0","Create a test suite","UI Suite","Fri Jul 18 22:50:45 GMT 2025","skipped","Fri Jul 18 22:50:45 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Fri Jul 18 22:51:46 GMT 2025","skipped","Fri Jul 18 22:51:46 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates and edits a suite, then verifies the updated suite appears","1","Edit a test suite","UI Suite","Fri Jul 18 22:51:09 GMT 2025","skipped","Fri Jul 18 22:51:09 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a test case and verifies it exists on the project page","1","Create test case","UI Suite","Fri Jul 18 22:50:18 GMT 2025","skipped","Fri Jul 18 22:50:18 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"","0","createProject","UI Suite","Fri Jul 18 22:50:45 GMT 2025","failed","Fri Jul 18 22:50:45 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","createProject"
"Creates a suite named 'Smoke' and verifies it is created","1","Create a test suite","UI Suite","Fri Jul 18 22:50:13 GMT 2025","skipped","Fri Jul 18 22:50:13 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"","0","createProject","UI Suite","Fri Jul 18 22:51:41 GMT 2025","failed","Fri Jul 18 22:51:41 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","createProject"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Fri Jul 18 22:51:51 GMT 2025","skipped","Fri Jul 18 22:51:51 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"","366","checkCreateDefect","UI Suite","Fri Jul 18 22:51:51 GMT 2025","failed","Fri Jul 18 22:51:52 GMT 2025","tests.api.DefectAPITest","UI Edge Test","tests.api.DefectAPITest","checkCreateDefect"
"","353","checkCreateDefect","UI Suite","Fri Jul 18 22:51:10 GMT 2025","failed","Fri Jul 18 22:51:10 GMT 2025","tests.api.DefectAPITest","UI Firefox Test","tests.api.DefectAPITest","checkCreateDefect"
"Creates a test case and verifies it exists on the project page","0","Create test case","UI Suite","Fri Jul 18 22:50:54 GMT 2025","skipped","Fri Jul 18 22:50:54 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"","1","createProject","UI Suite","Fri Jul 18 22:50:13 GMT 2025","failed","Fri Jul 18 22:50:13 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","createProject"
"","369","checkCreateDefect","API Suite","Fri Jul 18 22:51:52 GMT 2025","failed","Fri Jul 18 22:51:52 GMT 2025","tests.api.DefectAPITest","API Tests","tests.api.DefectAPITest","checkCreateDefect"
"Creates and edits a suite, then verifies the updated suite appears","0","Edit a test suite","UI Suite","Fri Jul 18 22:50:22 GMT 2025","skipped","Fri Jul 18 22:50:22 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"","1123","checkCreateDefect","UI Suite","Fri Jul 18 22:50:22 GMT 2025","failed","Fri Jul 18 22:50:24 GMT 2025","tests.api.DefectAPITest","UI Chrome Test","tests.api.DefectAPITest","checkCreateDefect"
"","353","checkCreateProject","API Suite","Fri Jul 18 22:51:52 GMT 2025","failed","Fri Jul 18 22:51:52 GMT 2025","tests.api.ProjectAPITest","API Tests","tests.api.ProjectAPITest","checkCreateProject"
"Creates a suite named 'Smoke' and verifies it is created","0","Create a test suite","UI Suite","Fri Jul 18 22:51:41 GMT 2025","skipped","Fri Jul 18 22:51:41 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"","1","initPages","UI Suite","Fri Jul 18 22:51:09 GMT 2025","failed","Fri Jul 18 22:51:09 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","initPages"
