"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Defects API","0","Defect CRUD Operations","1","0","Get a specific defect","0"
"0","Projects API","0","Project management","1","0","Get all projects","0"
"0","Defects API","0","Defect CRUD Operations","1","0","Delete a defect","0"
"0","Test Case & Suite Management","0","Test Suite","0","3","User create a suite","0"
"0","Projects API","0","Project management","1","0","Create a project","0"
"0","","0","","2","0","","0"
"0","Test Case & Suite Management","0","Test Suite","0","3","User edit an existing suite","0"
"0","Test Case & Suite Management","0","Test Case","0","3","User create a test case","0"
"0","Defects API","0","Defect CRUD Operations","1","0","Get all defects","0"
"0","Test Case & Suite Management","3","","0","0","","0"
"0","Defects API","0","Defect CRUD Operations","1","0","Update a defect","0"
"0","Defects API","0","Defect CRUD Operations","1","0","Create a defect","0"
